character_x,character_y,enemy_x,enemy_y,enemy_action,distance
401.433,300.094,414.651,300.014,Moving,13.2191
401.436,300.094,414.636,300.014,Moving,13.2
401.442,300.095,414.613,300.015,Moving,13.1709
401.446,300.095,414.597,300.015,Moving,13.1522
401.454,300.096,414.56,300.015,Moving,13.106
401.458,300.096,414.546,300.015,Moving,13.0883
401.464,300.096,414.52,300.015,Moving,13.0558
401.468,300.096,414.505,300.015,Moving,13.037
401.476,300.097,414.472,300.015,Moving,12.9967
401.479,300.097,414.458,300.015,Moving,12.9786
401.487,300.098,414.427,300.015,Moving,12.9399
401.491,300.098,414.412,300.015,Moving,12.922
401.497,300.098,414.385,300.015,Moving,12.8877
401.501,300.099,414.371,300.015,Moving,12.87
401.507,300.099,414.344,300.015,Moving,12.8369
401.511,300.099,414.328,300.015,Moving,12.8175
401.52,300.1,414.291,300.015,Moving,12.7712
401.528,300.1,414.261,300.015,Moving,12.7337
401.546,300.102,414.187,300.016,Moving,12.6408
401.556,300.102,414.15,300.016,Moving,12.595
401.559,300.103,414.136,300.016,Moving,12.5772
401.563,300.103,414.122,300.016,Moving,12.559
401.566,300.103,414.108,300.016,Moving,12.5421
401.569,300.103,414.095,300.016,Moving,12.5262
401.573,300.103,414.081,300.016,Moving,12.5081
401.578,300.104,414.06,300.016,Moving,12.4823
401.582,300.104,414.047,300.016,Moving,12.465
401.59,300.105,414.015,300.016,Moving,12.4251
401.594,300.105,414.001,300.016,Moving,12.4078
401.601,300.105,413.972,300.016,Moving,12.3713
401.605,300.106,413.958,300.016,Moving,12.3535
401.611,300.106,413.933,300.016,Moving,12.3222
401.614,300.106,413.919,300.016,Moving,12.3053
401.62,300.107,413.897,300.016,Moving,12.2767
401.624,300.107,413.883,300.016,Moving,12.259
401.632,300.107,413.852,300.016,Moving,12.2204
401.635,300.108,413.839,300.016,Moving,12.2038
401.642,300.108,413.811,300.017,Moving,12.1694
401.646,300.108,413.797,300.017,Moving,12.151
401.652,300.109,413.774,300.017,Moving,12.1227
401.668,300.11,413.714,300.017,Moving,12.047
401.672,300.11,413.7,300.017,Moving,12.0288
401.679,300.11,413.674,300.017,Moving,11.9953
401.683,300.111,413.658,300.017,Moving,11.9751
401.69,300.111,413.629,300.017,Moving,11.9389
401.694,300.111,413.615,300.017,Moving,11.9216
401.7,300.112,413.591,300.017,Moving,11.8909
401.704,300.112,413.577,300.017,Moving,11.8728
401.71,300.113,413.555,300.017,Moving,11.8456
401.714,300.113,413.54,300.017,Moving,11.8268
401.718,300.113,413.525,300.018,Moving,11.8067
401.727,300.114,413.492,300.018,Moving,11.7649
401.732,300.114,413.473,300.018,Moving,11.7408
401.739,300.114,413.449,300.018,Moving,11.7108
401.744,300.115,413.431,300.018,Moving,11.6875
401.75,300.115,413.407,300.018,Moving,11.6579
401.754,300.115,413.394,300.018,Moving,11.6404
401.76,300.116,413.37,300.018,Moving,11.6099
401.776,300.117,413.31,300.018,Moving,11.5346
401.786,300.118,413.275,300.018,Moving,11.4892
401.792,300.118,413.253,300.019,Moving,11.4613
401.805,300.119,413.207,300.019,Moving,11.4029
401.813,300.119,413.179,300.019,Moving,11.3663
401.816,300.12,413.166,300.019,Moving,11.3496
401.824,300.12,413.137,300.019,Moving,11.3134
401.828,300.12,413.124,300.019,Moving,11.2961
401.836,300.121,413.094,300.019,Moving,11.2585
401.84,300.121,413.082,300.019,Moving,11.2421
401.848,300.122,413.052,300.019,Moving,11.2043
401.852,300.122,413.039,300.019,Moving,11.1868
401.86,300.122,413.011,300.019,Moving,11.152
401.864,300.123,412.998,300.02,Moving,11.1353
401.873,300.123,412.965,300.02,Moving,11.093
401.877,300.124,412.952,300.02,Moving,11.076
401.885,300.124,412.923,300.02,Moving,11.0389
401.889,300.124,412.909,300.02,Moving,11.0209
401.893,300.125,412.895,300.02,Moving,11.0029
401.899,300.125,412.874,300.02,Moving,10.9748
401.903,300.125,412.859,300.02,Moving,10.9562
401.909,300.126,412.839,300.02,Moving,10.9309
401.913,300.126,412.825,300.02,Moving,10.9116
401.917,300.126,412.811,300.02,Moving,10.8938
401.924,300.127,412.789,300.02,Moving,10.8655
401.928,300.127,412.775,300.02,Moving,10.8475
401.933,300.127,412.758,300.021,Moving,10.826
401.937,300.128,412.745,300.021,Moving,10.8089
401.943,300.128,412.723,300.021,Moving,10.7807
401.949,300.128,412.703,300.021,Moving,10.7547
401.967,300.13,412.642,300.021,Moving,10.6763
401.973,300.13,412.623,300.021,Moving,10.6507
401.979,300.13,412.599,300.021,Moving,10.6205
401.984,300.131,412.586,300.021,Moving,10.6026
401.989,300.131,412.566,300.021,Moving,10.5776
401.994,300.131,412.551,300.021,Moving,10.5581
401.999,300.132,412.533,300.021,Moving,10.534
402.003,300.132,412.519,300.022,Moving,10.5167
402.01,300.132,412.497,300.022,Moving,10.4879
402.014,300.133,412.483,300.022,Moving,10.4691
402.019,300.133,412.469,300.022,Moving,10.4512
402.025,300.133,412.447,300.022,Moving,10.4224
402.029,300.134,412.434,300.022,Moving,10.405
402.034,300.134,412.419,300.022,Moving,10.3857
402.038,300.134,412.405,300.022,Moving,10.3676
402.045,300.135,412.384,300.022,Moving,10.3396
402.049,300.135,412.369,300.022,Moving,10.3212
402.053,300.135,412.356,300.022,Moving,10.3038
402.06,300.136,412.334,300.022,Moving,10.2747
402.064,300.136,412.319,300.022,Moving,10.2556
402.071,300.136,412.299,300.022,Moving,10.2286
402.075,300.137,412.285,300.023,Moving,10.2114
402.082,300.137,412.263,300.023,Moving,10.1817
402.086,300.137,412.249,300.023,Moving,10.1636
402.093,300.138,412.227,300.023,Moving,10.1346
402.098,300.138,412.212,300.023,Moving,10.1148
402.107,300.139,412.18,300.023,Moving,10.0737
402.112,300.139,412.165,300.023,Moving,10.0529
402.119,300.14,412.143,300.023,Moving,10.0247
402.124,300.14,412.129,300.023,Moving,10.006
40,40,760,560,Dance,888.144
40.0043,40.0003,760,540,Dance,876.581
40.0107,40.0007,740,540,Dance,860.223
40.0146,40.001,740,560,Dance,871.997
40.0215,40.0014,760,560,Dance,888.126
40.0254,40.0017,760,540,Dance,876.562
40.0322,40.0021,740,540,Dance,860.205
40.0371,40.0025,740,560,Dance,871.978
40.0467,40.0031,760,560,Dance,888.104
40.0516,40.0034,760,540,Dance,876.54
40.0608,40.004,740,540,Dance,860.181
40.0865,40.0057,740,560,Dance,871.936
40.1128,40.0075,760,560,Dance,888.048
40.1206,40.008,760,540,Dance,876.481
40.1311,40.0087,740,540,Dance,860.121
40.1356,40.009,740,560,Dance,871.895
40.1442,40.0096,760,560,Dance,888.022
40.1492,40.0099,760,540,Dance,876.456
40.1575,40.0105,740,540,Dance,860.098
40.1618,40.0107,740,560,Dance,871.873
40.1713,40.0114,760,560,Dance,887.999
40.1758,40.0117,760,540,Dance,876.433
40.1841,40.0122,740,540,Dance,860.076
40.1882,40.0125,740,560,Dance,871.851
40.1964,40.013,760,560,Dance,887.977
40.2018,40.0134,760,540,Dance,876.411
40.2054,40.0136,740,540,Dance,860.057
40.2138,40.0142,740,560,Dance,871.829
40.2184,40.0145,760,560,Dance,887.959
40.2264,40.015,760,540,Dance,876.39
40.2339,40.0155,740,540,Dance,860.033
40.2519,40.0167,740,560,Dance,871.797
40.2561,40.017,760,560,Dance,887.927
40.2654,40.0176,760,540,Dance,876.356
40.2699,40.0179,740,540,Dance,860.002
40.2775,40.0184,740,560,Dance,871.775
40.2838,40.0189,760,560,Dance,887.903
40.288,40.0191,760,540,Dance,876.337
40.2974,40.0198,740,540,Dance,859.979
40.3019,40.0201,740,560,Dance,871.755
40.3108,40.0206,760,560,Dance,887.88
40.3157,40.021,760,540,Dance,876.313
40.3314,40.022,740,540,Dance,859.95
40.3371,40.0224,740,560,Dance,871.725
40.3453,40.0229,760,560,Dance,887.851
40.3497,40.0232,760,540,Dance,876.284
40.3586,40.0238,740,540,Dance,859.927
40.3631,40.0241,740,560,Dance,871.703
40.3711,40.0247,760,560,Dance,887.829
40.3758,40.025,760,540,Dance,876.261
40.3839,40.0255,740,540,Dance,859.905
40.3906,40.026,740,560,Dance,871.68
40.4086,40.0272,760,560,Dance,887.797
40.4163,40.0277,760,540,Dance,876.227
40.4206,40.0279,740,540,Dance,859.874
40.428,40.0284,740,560,Dance,871.649
40.4321,40.0287,760,560,Dance,887.777
40.4399,40.0292,760,540,Dance,876.206
40.4443,40.0295,740,540,Dance,859.854
40.4523,40.0301,740,560,Dance,871.628
40.4568,40.0303,760,560,Dance,887.756
40.4645,40.0309,760,540,Dance,876.185
40.4689,40.0312,740,540,Dance,859.833
40.4767,40.0317,740,560,Dance,871.608
40.4807,40.0319,760,560,Dance,887.736
40.4883,40.0324,760,540,Dance,876.165
40.4927,40.0327,740,540,Dance,859.813
40.5006,40.0333,740,560,Dance,871.588
40.5051,40.0336,760,560,Dance,887.715
40.5128,40.0341,760,540,Dance,876.144
40.5175,40.0344,740,540,Dance,859.792
40.5253,40.0349,740,560,Dance,871.567
40.5293,40.0352,760,560,Dance,887.694
40.5369,40.0357,760,540,Dance,876.123
40.5412,40.036,740,540,Dance,859.771
40.5483,40.0364,740,560,Dance,871.547
40.5538,40.0368,760,560,Dance,887.674
40.5612,40.0373,760,540,Dance,876.102
